%time,field.header.seq,field.header.stamp,field.header.frame_id,field.ns,field.id,field.type,field.action,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.scale.x,field.scale.y,field.scale.z,field.color.r,field.color.g,field.color.b,field.color.a,field.lifetime,field.frame_locked,field.points0.x,field.points0.y,field.points0.z,field.text,field.mesh_resource,field.mesh_use_embedded_materials
1558532710311049938,15482,1558532710287039995,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0402759686112,-0.0429759807885,0.377000004053,,,0
1558532710381243944,15483,1558532710376061916,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0402759686112,-0.0421605817974,0.377000004053,,,0
1558532710450331926,15484,1558532710449115991,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0402759686112,-0.0413451865315,0.377000004053,,,0
1558532710519159078,15485,1558532710518062114,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0402759686112,-0.0429759807885,0.377000004053,,,0
1558532710590328931,15486,1558532710588840007,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0402759686112,-0.0429759807885,0.377000004053,,,0
1558532710672904968,15487,1558532710671799898,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0409831218421,-0.0428619869053,0.376000016928,,,0
1558532710754400014,15488,1558532710753356933,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0401691347361,-0.0428619869053,0.376000016928,,,0
1558532710832689046,15489,1558532710829818010,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0408741235733,-0.0443701408803,0.375000029802,,,0
1558532710905559062,15490,1558532710903503894,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0398486368358,-0.0449402481318,0.373000025749,,,0
1558532710995148897,15491,1558532710993861913,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0405471287668,-0.045624345541,0.372000008821,,,0
1558532711079596996,15492,1558532711076879978,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0395281389356,-0.0453790538013,0.370000004768,,,0
1558532711151803016,15493,1558532711150778055,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.041241299361,-0.0430944375694,0.371000021696,,,0
1558532711226795911,15494,1558532711224806070,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0395281389356,-0.0461793094873,0.370000004768,,,0
1558532711311727046,15495,1558532711309092044,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0404381342232,-0.0438968576491,0.371000021696,,,0
1558532711405652999,15496,1558532711399166107,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0389364734292,-0.0440151765943,0.372000008821,,,0
1558532711495429039,15497,1558532711493019104,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0383361540735,-0.0442518182099,0.374000012875,,,0
1558532711575417041,15498,1558532711574296951,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.039955470711,-0.0458696372807,0.374000012875,,,0
1558532711664849042,15499,1558532711663408994,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0383361540735,-0.0434429086745,0.374000012875,,,0
1558532711733752965,15500,1558532711732084989,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0383361540735,-0.0466785468161,0.374000012875,,,0
1558532711806159973,15501,1558532711804440975,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0382336527109,-0.0449402481318,0.373000025749,,,0
1558532711887233972,15502,1558532711883930921,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0349098406732,-0.045624345541,0.372000008821,,,0
1558532711977461099,15503,1558532711975888013,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0315181612968,-0.04457879439,0.370000004768,,,0
1558532712056581020,15504,1558532712055708885,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0199749376625,-0.0454304590821,0.364000022411,,,0
