%time,field.header.seq,field.header.stamp,field.header.frame_id,field.ns,field.id,field.type,field.action,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.scale.x,field.scale.y,field.scale.z,field.color.r,field.color.g,field.color.b,field.color.a,field.lifetime,field.frame_locked,field.points0.x,field.points0.y,field.points0.z,field.text,field.mesh_resource,field.mesh_use_embedded_materials
1558534206720875024,4557,1558534206720629930,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0672957226634,0.00256519159302,0.360000014305,,,0
1558534206765425920,4558,1558534206765048980,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0672554522753,0.00259369378909,0.364000022411,,,0
1558534206796542882,4559,1558534206796233892,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0672554522753,0.00259369378909,0.364000022411,,,0
1558534206828960895,4560,1558534206828663110,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.067380450666,0.00262932130136,0.369000017643,,,0
1558534206859069108,4561,1558534206858774900,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0681792870164,0.00262932130136,0.369000017643,,,0
1558534206902704954,4562,1558534206902333974,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0679945200682,0.00262219598517,0.368000030518,,,0
1558534206934964895,4563,1558534206934464931,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0678097531199,0.00102753075771,0.36700001359,,,0
1558534206967880010,4564,1558534206967444896,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0676249861717,-0.000558482948691,0.366000026464,,,0
1558534206997919082,4565,1558534206997639894,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0670706778765,-0.0021241416689,0.363000005484,,,0
1558534207040611982,4566,1558534207040175914,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0,-0.0,0.0,,,0
1558534207073124885,4567,1558534207072686910,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0665163770318,-0.00911425426602,0.360000014305,,,0
1558534207103230953,4568,1558534207102871894,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0661468431354,-0.0113865323365,0.358000010252,,,0
1558534207136554956,4569,1558534207136312961,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0663316100836,-0.0137477396056,0.35900002718,,,0
1558534207170727968,4570,1558534207170059919,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0655544251204,-0.0160771403462,0.35900002718,,,0
1558534207204216003,4571,1558534207203771114,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0669218599796,-0.01680666022,0.358000010252,,,0
1558534207234541893,4572,1558534207234170913,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0659196302295,-0.0185090843588,0.361000031233,,,0
1558534207263348102,4573,1558534207263029098,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0657370239496,-0.0184578113258,0.360000014305,,,0
